Malma Island Daily Standard Deviation of Wind Direction 2013-12-31 23:00:00+00:00 13.91
Malma Island Daily Standard Deviation of Wind Direction 2014-01-01 23:00:00+00:00 24.38
Malma Island Daily Standard Deviation of Wind Direction 2014-01-02 23:00:00+00:00 13.43
Malma Island Daily Standard Deviation of Wind Direction 2014-01-03 23:00:00+00:00 12.8
Malma Island Daily Standard Deviation of Wind Direction 2014-01-04 23:00:00+00:00 38.2
Malma Island Daily Standard Deviation of Wind Direction 2014-01-05 23:00:00+00:00 44.48
Malma Island Daily Standard Deviation of Wind Direction 2014-01-06 23:00:00+00:00 37.08
Malma Island Daily Standard Deviation of Wind Direction 2014-01-07 23:00:00+00:00 26.34
Malma Island Daily Standard Deviation of Wind Direction 2014-01-08 23:00:00+00:00 19.59
Malma Island Daily Standard Deviation of Wind Direction 2014-01-09 23:00:00+00:00 60.08
Malma Island Daily Standard Deviation of Wind Direction 2014-01-10 23:00:00+00:00 30.71
Malma Island Daily Standard Deviation of Wind Direction 2014-01-11 23:00:00+00:00 27.6
Malma Island Daily Standard Deviation of Wind Direction 2014-01-12 23:00:00+00:00 17.34
Malma Island Daily Standard Deviation of Wind Direction 2014-01-13 23:00:00+00:00 26.97
Malma Island Daily Standard Deviation of Wind Direction 2014-01-14 23:00:00+00:00 34.8
Malma Island Daily Standard Deviation of Wind Direction 2014-01-15 23:00:00+00:00 18.38
Malma Island Daily Standard Deviation of Wind Direction 2014-01-16 23:00:00+00:00 25.4
Malma Island Daily Standard Deviation of Wind Direction 2014-01-17 23:00:00+00:00 23.82
Malma Island Daily Standard Deviation of Wind Direction 2014-01-18 23:00:00+00:00 15.66
Malma Island Daily Standard Deviation of Wind Direction 2014-01-19 23:00:00+00:00 20.52
Malma Island Daily Standard Deviation of Wind Direction 2014-01-20 23:00:00+00:00 17.84
Malma Island Daily Standard Deviation of Wind Direction 2014-01-21 23:00:00+00:00 23.17
Malma Island Daily Standard Deviation of Wind Direction 2014-01-22 23:00:00+00:00 23.75
Malma Island Daily Standard Deviation of Wind Direction 2014-01-23 23:00:00+00:00 44.66
Malma Island Daily Standard Deviation of Wind Direction 2014-01-24 23:00:00+00:00 38.75
Malma Island Daily Standard Deviation of Wind Direction 2014-01-25 23:00:00+00:00 19.18
Malma Island Daily Standard Deviation of Wind Direction 2014-01-26 23:00:00+00:00 27.28
Malma Island Daily Standard Deviation of Wind Direction 2014-01-27 23:00:00+00:00 13.97
Malma Island Daily Standard Deviation of Wind Direction 2014-01-28 23:00:00+00:00 15.43
Malma Island Daily Standard Deviation of Wind Direction 2014-01-29 23:00:00+00:00 14.16
Malma Island Daily Standard Deviation of Wind Direction 2014-01-30 23:00:00+00:00 17.57
Malma Island Daily Standard Deviation of Wind Direction 2014-01-31 23:00:00+00:00 21.42
Malma Island Daily Standard Deviation of Wind Direction 2014-02-01 23:00:00+00:00 14.32
Malma Island Daily Standard Deviation of Wind Direction 2014-02-02 23:00:00+00:00 18.92
Malma Island Daily Standard Deviation of Wind Direction 2014-02-03 23:00:00+00:00 23.64
Malma Island Daily Standard Deviation of Wind Direction 2014-02-04 23:00:00+00:00 25.59
Malma Island Daily Standard Deviation of Wind Direction 2014-02-05 23:00:00+00:00 24.84
Malma Island Daily Standard Deviation of Wind Direction 2014-02-06 23:00:00+00:00 52.73
Malma Island Daily Standard Deviation of Wind Direction 2014-02-07 23:00:00+00:00 16.23
Malma Island Daily Standard Deviation of Wind Direction 2014-02-08 23:00:00+00:00 32.84
Malma Island Daily Standard Deviation of Wind Direction 2013-12-31 23:00:00+00:00 13.91
Malma Island Daily Standard Deviation of Wind Direction 2014-01-01 23:00:00+00:00 24.38
Malma Island Daily Standard Deviation of Wind Direction 2014-01-02 23:00:00+00:00 13.43
Malma Island Daily Standard Deviation of Wind Direction 2014-01-03 23:00:00+00:00 12.8
Malma Island Daily Standard Deviation of Wind Direction 2014-01-04 23:00:00+00:00 38.2
Malma Island Daily Standard Deviation of Wind Direction 2014-01-05 23:00:00+00:00 44.48
Malma Island Daily Standard Deviation of Wind Direction 2014-01-06 23:00:00+00:00 37.08
Malma Island Daily Standard Deviation of Wind Direction 2014-01-07 23:00:00+00:00 26.34
Malma Island Daily Standard Deviation of Wind Direction 2014-01-08 23:00:00+00:00 19.59
Malma Island Daily Standard Deviation of Wind Direction 2014-01-09 23:00:00+00:00 60.08
Malma Island Daily Standard Deviation of Wind Direction 2014-01-10 23:00:00+00:00 30.71
Malma Island Daily Standard Deviation of Wind Direction 2014-01-11 23:00:00+00:00 27.6
Malma Island Daily Standard Deviation of Wind Direction 2014-01-12 23:00:00+00:00 17.34
Malma Island Daily Standard Deviation of Wind Direction 2014-01-13 23:00:00+00:00 26.97
Malma Island Daily Standard Deviation of Wind Direction 2014-01-14 23:00:00+00:00 34.8
Malma Island Daily Standard Deviation of Wind Direction 2014-01-15 23:00:00+00:00 18.38
Malma Island Daily Standard Deviation of Wind Direction 2014-01-16 23:00:00+00:00 25.4
Malma Island Daily Standard Deviation of Wind Direction 2014-01-17 23:00:00+00:00 23.82
Malma Island Daily Standard Deviation of Wind Direction 2014-01-18 23:00:00+00:00 15.66
Malma Island Daily Standard Deviation of Wind Direction 2014-01-19 23:00:00+00:00 20.52
Malma Island Daily Standard Deviation of Wind Direction 2014-01-20 23:00:00+00:00 17.84
Malma Island Daily Standard Deviation of Wind Direction 2014-01-21 23:00:00+00:00 23.17
Malma Island Daily Standard Deviation of Wind Direction 2014-01-22 23:00:00+00:00 23.75
Malma Island Daily Standard Deviation of Wind Direction 2014-01-23 23:00:00+00:00 44.66
Malma Island Daily Standard Deviation of Wind Direction 2014-01-24 23:00:00+00:00 38.75
Malma Island Daily Standard Deviation of Wind Direction 2014-01-25 23:00:00+00:00 19.18
Malma Island Daily Standard Deviation of Wind Direction 2014-01-26 23:00:00+00:00 27.28
Malma Island Daily Standard Deviation of Wind Direction 2014-01-27 23:00:00+00:00 13.97
